track_id,track_name,album,artist,plist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
7lJe54UR1mdeoZRoYWGed7,The Legend Of Zelda: Majora's Mask - Last Day,The Legend Of Zelda Vol.4,Good Knight Productions,Just Fuck Me Up Fam,0.119,0.042,7,-27.819,0,0.0562,0.929,0.856,0.111,0.0392,73.587,audio_features,spotify:track:7lJe54UR1mdeoZRoYWGed7,https://api.spotify.com/v1/tracks/7lJe54UR1mdeoZRoYWGed7,https://api.spotify.com/v1/audio-analysis/7lJe54UR1mdeoZRoYWGed7,126912,4
7lL3MvFWFFSD25pBz72Agj,A Tale of 2 Citiez,2014 Forest Hills Drive,J. Cole,SHOTCLOCK BANGERS,0.559,0.556,6,-7.844,1,0.531,0.553,0.0,0.251,0.362,189.861,audio_features,spotify:track:7lL3MvFWFFSD25pBz72Agj,https://api.spotify.com/v1/tracks/7lL3MvFWFFSD25pBz72Agj,https://api.spotify.com/v1/audio-analysis/7lL3MvFWFFSD25pBz72Agj,269787,4
7lMuO6yXnjlvsSfczyyept,Born to Shine (feat. Run The Jewels),Big Grams,Big Grams,Matt Music,0.355,0.892,7,-6.519,0,0.701,0.0191,0.0,0.0857,0.302,152.849,audio_features,spotify:track:7lMuO6yXnjlvsSfczyyept,https://api.spotify.com/v1/tracks/7lMuO6yXnjlvsSfczyyept,https://api.spotify.com/v1/audio-analysis/7lMuO6yXnjlvsSfczyyept,252573,4
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,The Eminem Show,Eminem,Matt Music,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,290320,4
7lY8aoN3wUR3NY4nUwigPv,"Paint It, Black - (Original Single Mono Version)",Singles 1965-1967,The Rolling Stones,Best of the Best of the Best,0.496,0.859,5,-7.927,0,0.0934,0.0135,0.065,0.349,0.768,159.694,audio_features,spotify:track:7lY8aoN3wUR3NY4nUwigPv,https://api.spotify.com/v1/tracks/7lY8aoN3wUR3NY4nUwigPv,https://api.spotify.com/v1/audio-analysis/7lY8aoN3wUR3NY4nUwigPv,224133,4
7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,17,XXXTENTACION,Matt Music,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,audio_features,spotify:track:7m9OqQk4RVRkw9JJdeAw96,https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96,https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96,119133,4
7mgVenws8AB44VPNGY56NQ,Folgers Crystals,Revenge Of The Dreamers II,J. Cole,Matt Music,0.884,0.742,10,-5.402,0,0.301,0.357,0.0,0.127,0.849,109.982,audio_features,spotify:track:7mgVenws8AB44VPNGY56NQ,https://api.spotify.com/v1/tracks/7mgVenws8AB44VPNGY56NQ,https://api.spotify.com/v1/audio-analysis/7mgVenws8AB44VPNGY56NQ,143027,4
7o2tfdEG8HlIBoN5WTM8a8,Public Service Announcement (Interlude),The Hits Collection Volume One [Deluxe Edition (Explicit)],JAY-Z,Matt Music,0.422,0.973,1,-0.506,1,0.541,0.298,4.65e-05,0.21,0.567,178.213,audio_features,spotify:track:7o2tfdEG8HlIBoN5WTM8a8,https://api.spotify.com/v1/tracks/7o2tfdEG8HlIBoN5WTM8a8,https://api.spotify.com/v1/audio-analysis/7o2tfdEG8HlIBoN5WTM8a8,166000,4
7oFnyYm3SIqDJCAYAA1oZI,A2Z,No Pressure,Logic,Matt Music,0.662,0.918,10,-5.915,0,0.492,0.603,0.0,0.405,0.516,88.833,audio_features,spotify:track:7oFnyYm3SIqDJCAYAA1oZI,https://api.spotify.com/v1/tracks/7oFnyYm3SIqDJCAYAA1oZI,https://api.spotify.com/v1/audio-analysis/7oFnyYm3SIqDJCAYAA1oZI,188641,4
7oGwQOTkMB9Sk3DIKJLd5F,Baby I'm Yours - feat. Irfrane,By Your Side,Breakbot,songs u go back to,0.831,0.794,2,-3.701,0,0.0752,0.705,3.4e-05,0.0978,0.735,118.075,audio_features,spotify:track:7oGwQOTkMB9Sk3DIKJLd5F,https://api.spotify.com/v1/tracks/7oGwQOTkMB9Sk3DIKJLd5F,https://api.spotify.com/v1/audio-analysis/7oGwQOTkMB9Sk3DIKJLd5F,215787,4
